start,end,defense_system,genome,seqid,source,system,class,original,defense_system2
4551838,4557656,RM_Type_II,GCA_003851585.1,CP027724.1,defensefinder,RM,RM,RM_Type_II,RM II
4885008,4887551,RM_Type_IV,GCA_003851585.1,CP027724.1,defensefinder,RM,RM,RM_Type_IV,RM IV
3180900,3184382,Mokosh_TypeII,GCA_003851585.1,CP027724.1,defensefinder,Mokosh,Unknown,Mokosh_TypeII,Mokosh II
5226366,5227518,AbiEii,GCA_003851605.1,CP027725.1,defensefinder,AbiE,Abi,AbiEii,AbiEii
2628174,2631656,Mokosh_TypeII,GCA_003851605.1,CP027725.1,defensefinder,Mokosh,Unknown,Mokosh_TypeII,Mokosh II
5202426,5203578,AbiEii,GCA_003851645.1,CP027726.1,defensefinder,AbiE,Abi,AbiEii,AbiEii
2743387,2746869,Mokosh_TypeII,GCA_003851645.1,CP027726.1,defensefinder,Mokosh,Unknown,Mokosh_TypeII,Mokosh II
5195993,5197142,AbiEii,GCA_003852045.1,CP027723.1,defensefinder,AbiE,Abi,AbiEii,AbiEii
3075992,3079474,Mokosh_TypeII,GCA_003852045.1,CP027723.1,defensefinder,Mokosh,Unknown,Mokosh_TypeII,Mokosh II
677629,681132,Mokosh_TypeII,GCA_900105795.1,LT629782.1,defensefinder,Mokosh,Unknown,Mokosh_TypeII,Mokosh II
677629,681132,SspBCDE,GCA_001534745.1,LT629782.1,defensefinder,Ssp,RM,SspBCDE,SspBCDE
2281556,2286504,Dynamins,GCA_002943995.1,CP014062.1,defensefinder,Dynamins,Unknown,Dynamins,Dynamins
5115055,5116176,SoFic,GCA_003671975.1,CP022562.1,defensefinder,SoFic,Unknown,SoFic,SoFic
5123284,5128232,Dynamins,GCA_003671975.1,CP022562.1,defensefinder,Dynamins,Unknown,Dynamins,Dynamins
5741917,5742333,Borvo,GCA_003671975.1,CP022562.1,defensefinder,Borvo,Unknown,Borvo,Borvo
242223,255308,RM_Type_I,GCA_003671975.1,CP022562.1,defensefinder,RM,RM,RM_Type_I,RM I
3063219,3065381,Borvo,GCA_009831395.1,CP040324.1,defensefinder,Borvo,Unknown,Borvo,Borvo
3850381,3854049,Lamassu-Fam,GCA_009831395.1,CP040324.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
3483351,3488516,Dynamins,GCA_011045675.1,CP043395.1,defensefinder,Dynamins,Unknown,Dynamins,Dynamins
5074876,5079824,Dynamins,GCA_011045675.1,CP043395.1,defensefinder,Dynamins,Unknown,Dynamins,Dynamins
4059775,4060221,RM_Type_IV,GCA_011045675.1,CP043395.1,defensefinder,RM,RM,RM_Type_IV,RM IV
2869965,2871716,Shedu,GCA_011045675.1,CP043395.1,defensefinder,Shedu,Unknown,Shedu,Shedu
767491,770909,PsyrTA,GCA_011045675.1,CP043395.1,defensefinder,PsyrTA,TA,PsyrTA,PsyrTA
347214,349231,Menshen,GCA_011045675.1,CP043395.1,defensefinder,Menshen,Unknown,Menshen,Menshen
3482242,3487407,Dynamins,GCA_011045695.1,CP043396.1,defensefinder,Dynamins,Unknown,Dynamins,Dynamins
5073767,5078715,Dynamins,GCA_011045695.1,CP043396.1,defensefinder,Dynamins,Unknown,Dynamins,Dynamins
4058666,4059112,RM_Type_IV,GCA_011045695.1,CP043396.1,defensefinder,RM,RM,RM_Type_IV,RM IV
2868856,2870607,Shedu,GCA_011045695.1,CP043396.1,defensefinder,Shedu,Unknown,Shedu,Shedu
767491,770909,PsyrTA,GCA_011045695.1,CP043396.1,defensefinder,PsyrTA,TA,PsyrTA,PsyrTA
347214,349231,Menshen,GCA_011045695.1,CP043396.1,defensefinder,Menshen,Unknown,Menshen,Menshen
4886895,4891843,Dynamins,GCA_015136515.1,AP022473.1,defensefinder,Dynamins,Unknown,Dynamins,Dynamins
4097189,4099056,RosmerTA,GCA_015136515.1,AP022473.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
1901412,1904251,RM_Type_II,GCA_013285305.1,CP054205.1,defensefinder,RM,RM,RM_Type_II,RM II
3196075,3198342,PARIS_I,GCA_013285305.1,CP054205.1,defensefinder,PARIS,Abi,PARIS_I,PARIS I
4094898,4096187,RM_Type_IV,GCA_018417555.1,CP070980.1,defensefinder,RM,RM,RM_Type_IV,RM IV
533985,537545,RM_Type_II,GCA_018417555.1,CP070980.1,defensefinder,RM,RM,RM_Type_II,RM II
4096184,4098217,RM_Type_IV,GCA_018417555.1,CP070980.1,defensefinder,RM,RM,RM_Type_IV,RM IV
3446683,3447420,RM_Type_IV,GCA_018417575.1,CP070981.1,defensefinder,RM,RM,RM_Type_IV,RM IV
149576,151734,PARIS_I,GCA_018417575.1,CP070981.1,defensefinder,PARIS,Abi,PARIS_I,PARIS I
10489,9680,Septu,GCA_900105575.1,LT629801.1,defensefinder,Septu,Unknown,Septu,Septu
6164956,6173021,Septu,GCA_900105575.1,LT629801.1,defensefinder,Septu,Unknown,Septu,Septu
2384843,2391622,Lamassu-Fam,GCA_002028325.1,CP018420.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
2477131,2479697,Dynamins,GCA_004919535.4,CP039631.3,defensefinder,Dynamins,Unknown,Dynamins,Dynamins
6059152,6063451,Dynamins,GCA_021233455.1,CP089532.1,defensefinder,Dynamins,Unknown,Dynamins,Dynamins
5076173,5078172,RM_Type_II,GCA_021233455.1,CP089532.1,defensefinder,RM,RM,RM_Type_II,RM II
3312020,3315342,Lamassu-Fam,GCA_021233455.1,CP089532.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
3315822,3318223,Septu,GCA_021233455.1,CP089532.1,defensefinder,Septu,Unknown,Septu,Septu
5317896,5322844,Dynamins,GCA_000019125.1,CP000926.1,defensefinder,Dynamins,Unknown,Dynamins,Dynamins
599225,603806,RM_Type_II,GCA_000019125.1,CP000926.1,defensefinder,RM,RM,RM_Type_II,RM II
1850916,1851860,RM_Type_IV,GCA_000019125.1,CP000926.1,defensefinder,RM,RM,RM_Type_IV,RM IV
1836088,1837853,RosmerTA,GCA_000019125.1,CP000926.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
5495278,5498293,Septu,GCA_002309555.1,CP023299.1,defensefinder,Septu,Unknown,Septu,Septu
1987190,1992537,Mokosh_TypeI,GCA_019823065.1,CP081966.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
2313834,2315744,RM_Type_IV,GCA_001020725.3,CP017687.2,defensefinder,RM,RM,RM_Type_IV,RM IV
2316046,2317020,RM_Type_IV,GCA_001020725.3,CP017687.2,defensefinder,RM,RM,RM_Type_IV,RM IV
1595977,1596720,Retron_XII,GCA_015377145.2,CP062158.2,defensefinder,Retron,Retron,Retron_XII,Retron XII
933918,935588,dCTPdeaminase,GCA_015377145.2,CP062158.2,defensefinder,dCTPdeaminase,Nucleotide_depletion,dCTPdeaminase,dCTPdeaminase
2715370,2718556,RM_Type_IV,GCA_018449005.1,CP075177.1,defensefinder,RM,RM,RM_Type_IV,RM IV
4131670,4134856,RM_Type_IV,GCA_018449025.1,CP075180.1,defensefinder,RM,RM,RM_Type_IV,RM IV
4608757,4610471,RosmerTA,GCA_000761195.1,CP009290.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
4652935,4654756,RosmerTA,GCA_003851205.1,CP027741.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
4585542,4587363,RosmerTA,GCA_003851225.1,CP027743.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
4417032,4419161,Borvo,GCA_003851265.1,CP027744.1,defensefinder,Borvo,Unknown,Borvo,Borvo
3854827,3858636,Dsr_I,GCA_003851265.1,CP027744.1,defensefinder,dsr,Abi,Dsr_I,dsr I
4394116,4397715,Dsr_I,GCA_003851265.1,CP027744.1,defensefinder,dsr,Abi,Dsr_I,dsr I
2689341,2695191,RM_Type_II,GCA_003851345.1,CP027718.1,defensefinder,RM,RM,RM_Type_II,RM II
2692041,2693720,RM_Type_IV,GCA_003851345.1,CP027718.1,defensefinder,RM,RM,RM_Type_IV,RM IV
3950546,3954355,Dsr_I,GCA_003851345.1,CP027718.1,defensefinder,dsr,Abi,Dsr_I,dsr I
4557411,4559232,RosmerTA,GCA_003851345.1,CP027718.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
4654870,4656691,RosmerTA,GCA_003851805.1,CP027742.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
2752990,2758438,Mokosh_TypeI,GCA_009362955.1,CP045221.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
3617216,3617755,Borvo,GCA_013466605.1,CP059162.1,defensefinder,Borvo,Unknown,Borvo,Borvo
2628463,2629737,RM_Type_IV,GCA_016757635.1,CP068390.1,defensefinder,RM,RM,RM_Type_IV,RM IV
2626433,2628466,RM_Type_IV,GCA_016757635.1,CP068390.1,defensefinder,RM,RM,RM_Type_IV,RM IV
2264884,2267166,Rst_gop_beta_cll,GCA_016757635.1,CP068390.1,defensefinder,gop_beta_cll,Unknown,Rst_gop_beta_cll,gop_beta_cll
4588582,4590139,ShosTA,GCA_900102295.1,LT629691.1,defensefinder,ShosTA,TA,ShosTA,ShosTA
4588582,4590139,Septu,GCA_012971725.1,LT629691.1,defensefinder,Septu,Unknown,Septu,Septu
5554889,5556010,SoFic,GCA_000263715.2,CM001514.1,defensefinder,SoFic,Unknown,SoFic,SoFic
246811,247962,Abi2,GCA_000263715.2,CM001514.1,defensefinder,Abi2,Abi,Abi2,Abi2
5238642,5241223,Olokun,GCA_001913215.1,CP017007.1,defensefinder,Olokun,Unknown,Olokun,Olokun
33116,41522,RM_Type_I,GCA_001913215.1,CP017007.1,defensefinder,RM,RM,RM_Type_I,RM I
1106186,1107493,RM_Type_IIG,GCA_001913215.1,CP017007.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
1939119,1945476,RM_Type_III,GCA_001913215.1,CP017007.1,defensefinder,RM,RM,RM_Type_III,RM III
3034116,3039827,Lamassu-Fam,GCA_001913215.1,CP017007.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
5135959,5138540,Olokun,GCA_001913235.1,CP017009.1,defensefinder,Olokun,Unknown,Olokun,Olokun
33116,41522,RM_Type_I,GCA_001913235.1,CP017009.1,defensefinder,RM,RM,RM_Type_I,RM I
1106186,1107493,RM_Type_IIG,GCA_001913235.1,CP017009.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
1838268,1844625,RM_Type_III,GCA_001913235.1,CP017009.1,defensefinder,RM,RM,RM_Type_III,RM III
2933266,2938977,Lamassu-Fam,GCA_001913235.1,CP017009.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
5229837,5232418,Olokun,GCA_002024285.1,CP019730.1,defensefinder,Olokun,Unknown,Olokun,Olokun
33116,41522,RM_Type_I,GCA_002024285.1,CP019730.1,defensefinder,RM,RM,RM_Type_I,RM I
1108055,1109362,RM_Type_IIG,GCA_002024285.1,CP019730.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
1934263,1940620,RM_Type_III,GCA_002024285.1,CP019730.1,defensefinder,RM,RM,RM_Type_III,RM III
3029271,3034982,Lamassu-Fam,GCA_002024285.1,CP019730.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
2108688,2111269,Olokun,GCA_002024305.1,CP019732.1,defensefinder,Olokun,Unknown,Olokun,Olokun
33116,41522,RM_Type_I,GCA_002024305.1,CP019732.1,defensefinder,RM,RM,RM_Type_I,RM I
1108055,1109362,RM_Type_IIG,GCA_002024305.1,CP019732.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
5402638,5408995,RM_Type_III,GCA_002024305.1,CP019732.1,defensefinder,RM,RM,RM_Type_III,RM III
4307022,4312733,Lamassu-Fam,GCA_002024305.1,CP019732.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
1950879,1952201,RM_Type_IV,GCA_002763655.1,CP024712.1,defensefinder,RM,RM,RM_Type_IV,RM IV
3409171,3410100,Lit,GCA_002763655.1,CP024712.1,defensefinder,Lit,Abi,Lit,Lit
1609634,1616119,RosmerTA,GCA_002763655.1,CP024712.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
5243493,5246026,Olokun,GCA_003665415.1,CP032871.1,defensefinder,Olokun,Unknown,Olokun,Olokun
1071304,1072611,RM_Type_IIG,GCA_003665415.1,CP032871.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
1906952,1913309,RM_Type_III,GCA_003665415.1,CP032871.1,defensefinder,RM,RM,RM_Type_III,RM III
3552879,3558590,Lamassu-Fam,GCA_003665415.1,CP032871.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
201967,204963,RM_Type_IIG,GCA_001874645.1,CP017887.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
5268368,5274087,Lamassu-Fam,GCA_001874645.1,CP017886.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
5279373,5285796,Mokosh_TypeI,GCA_001874645.1,CP017886.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
6259755,6260672,RM_Type_IV,GCA_002355315.1,CP023466.1,defensefinder,RM,RM,RM_Type_IV,RM IV
6582626,6584197,dCTPdeaminase,GCA_002355315.1,CP023466.1,defensefinder,dCTPdeaminase,Nucleotide_depletion,dCTPdeaminase,dCTPdeaminase
543831,546281,RM_Type_IV,GCA_011040435.1,CP049044.1,defensefinder,RM,RM,RM_Type_IV,RM IV
3218004,3222190,Lamassu-Fam,GCA_011040435.1,CP049044.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
546281,552563,Mokosh_TypeI,GCA_011040435.1,CP049044.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
543819,546269,RM_Type_IV,GCA_900106105.1,LT629795.1,defensefinder,RM,RM,RM_Type_IV,RM IV
3219272,3223458,Lamassu-Fam,GCA_900106105.1,LT629795.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
4550097,4552648,Septu,GCA_900106105.1,LT629795.1,defensefinder,Septu,Unknown,Septu,Septu
546269,552551,Mokosh_TypeI,GCA_900106105.1,LT629795.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
5204962,5206398,SEFIR,GCA_002905685.2,CP026558.1,defensefinder,SEFIR,Unknown,SEFIR,SEFIR
1461852,1462676,RM_Type_IV,GCA_900105815.1,LT629800.1,defensefinder,RM,RM,RM_Type_IV,RM IV
5228200,5231817,Dsr_I,GCA_900105815.1,LT629800.1,defensefinder,dsr,Abi,Dsr_I,dsr I
2068484,2071969,Lamassu-Fam,GCA_002356535.2,AP017423.2,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
3213866,3214690,RM_Type_IV,GCA_016615645.1,CP067098.1,defensefinder,RM,RM,RM_Type_IV,RM IV
1502546,1506049,Mokosh_TypeII,GCA_000828755.1,AP014655.1,defensefinder,Mokosh,Unknown,Mokosh_TypeII,Mokosh II
3393072,3398237,RosmerTA,GCA_000828755.1,AP014655.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
4149221,4150946,RosmerTA,GCA_000828755.1,AP014655.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
4245665,4246959,Retron_II,GCA_003410295.1,CP031641.1,defensefinder,Retron,Retron,Retron_II,Retron II
4245665,4246959,Retron_II,GCA_003410295.1,CP031641.1,defensefinder,Retron,Retron,Retron_II,Retron II
3759256,3760554,RM_Type_IV,GCA_003410295.1,CP031641.1,defensefinder,RM,RM,RM_Type_IV,RM IV
4497955,4501061,RM_Type_II,GCA_000007565.2,AE015451.2,defensefinder,RM,RM,RM_Type_II,RM II
6070303,6078917,RM_Type_II,GCA_900104735.1,LT629746.1,defensefinder,RM,RM,RM_Type_II,RM II
1056436,1060492,RM_Type_II,GCA_900104365.1,LT629708.1,defensefinder,RM,RM,RM_Type_II,RM II
4860165,4865881,Lamassu-Fam,GCA_009818265.1,CP046874.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
4852855,4859282,Mokosh_TypeI,GCA_009818265.1,CP046874.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
6058118,6060699,Olokun,GCA_900106005.1,LT629790.1,defensefinder,Olokun,Unknown,Olokun,Olokun
892717,894474,dCTPdeaminase,GCA_900106005.1,LT629790.1,defensefinder,dCTPdeaminase,Nucleotide_depletion,dCTPdeaminase,dCTPdeaminase
677951,680513,Septu,GCA_900106005.1,LT629790.1,defensefinder,Septu,Unknown,Septu,Septu
4307107,4308849,dCTPdeaminase,GCA_002953635.1,CP025494.1,defensefinder,dCTPdeaminase,Nucleotide_depletion,dCTPdeaminase,dCTPdeaminase
18321,21130,RM_Type_IV,GCA_003047185.1,CP028490.1,defensefinder,RM,RM,RM_Type_IV,RM IV
4678174,4679748,dCTPdeaminase,GCA_003047185.1,CP028490.1,defensefinder,dCTPdeaminase,Nucleotide_depletion,dCTPdeaminase,dCTPdeaminase
5331136,5332434,Shedu,GCA_003047185.1,CP028490.1,defensefinder,Shedu,Unknown,Shedu,Shedu
6717663,6718787,SoFic,GCA_008824165.1,CP044409.1,defensefinder,SoFic,Unknown,SoFic,SoFic
6184007,6185131,SoFic,GCA_900105285.1,LT629767.1,defensefinder,SoFic,Unknown,SoFic,SoFic
34360,37433,Gabija,GCA_001605965.1,CP014947.1,defensefinder,Gabija,Unknown,Gabija,Gabija
519473,522546,Gabija,GCA_001605965.1,CP014947.1,defensefinder,Gabija,Unknown,Gabija,Gabija
4075524,4077910,Septu,GCA_001654515.1,CP015852.1,defensefinder,Septu,Unknown,Septu,Septu
3623677,3629173,Mokosh_TypeI,GCA_003049825.1,CP027477.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
3023235,3026820,Lamassu-Fam,GCA_001186335.1,CP011507.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
59139,62322,RM_Type_II,GCA_900104885.1,LT629760.1,defensefinder,RM,RM,RM_Type_II,RM II
742065,742793,Abi2,GCA_900104885.1,LT629760.1,defensefinder,Abi2,Abi,Abi2,Abi2
3169682,3180414,Lamassu-Fam,GCA_900104885.1,LT629760.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
363935,366285,Septu,GCA_900104885.1,LT629760.1,defensefinder,Septu,Unknown,Septu,Septu
2420499,2422763,RM_Type_IV,GCA_004000515.1,CP034537.1,defensefinder,RM,RM,RM_Type_IV,RM IV
1847525,1849386,PARIS_II,GCA_900103965.1,LT629706.1,defensefinder,PARIS,Abi,PARIS_II,PARIS II
4135829,4138653,RM_Type_IV,GCA_018516745.1,CP053029.1,defensefinder,RM,RM,RM_Type_IV,RM IV
4349425,4353611,Lamassu-Fam,GCA_018516785.1,CP053030.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
835829,837007,RM_Type_IV,GCA_020783375.1,CP086067.1,defensefinder,RM,RM,RM_Type_IV,RM IV
1348517,1350346,dCTPdeaminase,GCA_020783375.1,CP086067.1,defensefinder,dCTPdeaminase,Nucleotide_depletion,dCTPdeaminase,dCTPdeaminase
4432524,4435330,RM_Type_IV,GCA_000012245.1,CP000075.1,defensefinder,RM,RM,RM_Type_IV,RM IV
4527902,4531439,Lamassu-Fam,GCA_000012245.1,CP000075.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
4522205,4525665,PsyrTA,GCA_000012245.1,CP000075.1,defensefinder,PsyrTA,TA,PsyrTA,PsyrTA
3056643,3060938,Dynamins,GCA_000012445.1,CP000094.2,defensefinder,Dynamins,Unknown,Dynamins,Dynamins
3053206,3056528,RM_Type_IV,GCA_000012445.1,CP000094.2,defensefinder,RM,RM,RM_Type_IV,RM IV
5223413,5227026,RM_Type_II,GCA_000012445.1,CP000094.2,defensefinder,RM,RM,RM_Type_II,RM II
5228434,5229405,RM_Type_IV,GCA_000012445.1,CP000094.2,defensefinder,RM,RM,RM_Type_IV,RM IV
2117030,2122222,Gabija,GCA_000006765.1,AE004091.2,defensefinder,Gabija,Unknown,Gabija,Gabija
10544,11665,SoFic,GCA_000761155.1,CP009533.1,defensefinder,SoFic,Unknown,SoFic,SoFic
192867,195041,Borvo,GCA_000009225.1,AM181176.4,defensefinder,Borvo,Unknown,Borvo,Borvo
5585418,5589106,Olokun,GCA_000009225.1,AM181176.4,defensefinder,Olokun,Unknown,Olokun,Olokun
520189,521547,RosmerTA,GCA_900103795.1,LT629704.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
1816911,1819735,RM_Type_IV,GCA_000007805.1,AE016853.1,defensefinder,RM,RM,RM_Type_IV,RM IV
58344,59906,dCTPdeaminase,GCA_000007805.1,AE016853.1,defensefinder,dCTPdeaminase,Nucleotide_depletion,dCTPdeaminase,dCTPdeaminase
4157261,4159659,Septu,GCA_000007805.1,AE016853.1,defensefinder,Septu,Unknown,Septu,Septu
1239875,1243338,Lamassu-Fam,GCA_000166295.1,CP001978.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
1924013,1927944,RM_Type_IV,GCA_000264665.2,CP003588.1,defensefinder,RM,RM,RM_Type_IV,RM IV
5878255,5880053,RosmerTA,GCA_000264665.2,CP003588.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
1643651,1645054,RM_Type_IV,GCA_009734285.1,CP046441.1,defensefinder,RM,RM,RM_Type_IV,RM IV
2875090,2875992,AbiH,GCA_009734285.1,CP046441.1,defensefinder,AbiH,Abi,AbiH,AbiH
3845026,3848791,Lamassu-Fam,GCA_009734285.1,CP046441.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
880450,884209,Lamassu-Fam,GCA_000746525.1,CP009048.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
4890900,4897119,Gabija,GCA_000746525.1,CP009048.1,defensefinder,Gabija,Unknown,Gabija,Gabija
2234279,2237399,Septu,GCA_009755645.1,CP046621.1,defensefinder,Septu,Unknown,Septu,Septu
1312261,1313094,RM_Type_IV,GCA_001913135.1,CP018758.1,defensefinder,RM,RM,RM_Type_IV,RM IV
2618828,2621089,RM_Type_II,GCA_001913135.1,CP018758.1,defensefinder,RM,RM,RM_Type_II,RM II
982741,986327,Olokun,GCA_006384975.1,CP021645.1,defensefinder,Olokun,Unknown,Olokun,Olokun
3472335,3473768,SEFIR,GCA_006384975.1,CP021645.1,defensefinder,SEFIR,Unknown,SEFIR,SEFIR
4082873,4084045,SoFic,GCA_006384975.1,CP021645.1,defensefinder,SoFic,Unknown,SoFic,SoFic
1420476,1423991,RM_Type_II,GCA_006384975.1,CP021645.1,defensefinder,RM,RM,RM_Type_II,RM II
111632,115129,Mokosh_TypeII,GCA_006384975.1,CP021645.1,defensefinder,Mokosh,Unknown,Mokosh_TypeII,Mokosh II
2392447,2393580,SoFic,GCA_014522265.1,CP017024.1,defensefinder,SoFic,Unknown,SoFic,SoFic
4910803,4911975,RM_Type_IV,GCA_900235905.1,LT963408.1,defensefinder,RM,RM,RM_Type_IV,RM IV
2193769,2208913,Lamassu-Fam,GCA_900235905.1,LT963408.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
5358261,5359160,AbiH,GCA_900235905.1,LT963408.1,defensefinder,AbiH,Abi,AbiH,AbiH
5363987,5365821,RosmerTA,GCA_900235905.1,LT963408.1,defensefinder,RosmerTA,TA,RosmerTA,RosmerTA
2459408,2460529,SoFic,GCA_003408635.1,CP031606.1,defensefinder,SoFic,Unknown,SoFic,SoFic
1031757,1033905,RM_Type_II,GCA_003408635.1,CP031606.1,defensefinder,RM,RM,RM_Type_II,RM II
1166845,1167609,RM_Type_IV,GCA_003408635.1,CP031606.1,defensefinder,RM,RM,RM_Type_IV,RM IV
1981367,1985397,RM_Type_II,GCA_003408635.1,CP031606.1,defensefinder,RM,RM,RM_Type_II,RM II
3583615,3584910,RM_Type_IV,GCA_003408635.1,CP031606.1,defensefinder,RM,RM,RM_Type_IV,RM IV
3757332,3760169,RM_Type_II,GCA_003408635.1,CP031606.1,defensefinder,RM,RM,RM_Type_II,RM II
3584907,3586682,RM_Type_IV,GCA_003408635.1,CP031606.1,defensefinder,RM,RM,RM_Type_IV,RM IV
10482,11027,DRT_2,GCA_900235885.1,LT963391.1,defensefinder,DRT,Unknown,DRT_2,DRT II
5972772,5973320,DRT_2,GCA_900235885.1,LT963391.1,defensefinder,DRT,Unknown,DRT_2,DRT II
871013,874222,Menshen,GCA_900108535.1,LT629970.1,defensefinder,Menshen,Unknown,Menshen,Menshen
3717647,3721165,Mokosh_TypeII,GCA_900108535.1,LT629970.1,defensefinder,Mokosh,Unknown,Mokosh_TypeII,Mokosh II
3418142,3420388,RM_Type_IV,GCA_003940785.1,CP034337.1,defensefinder,RM,RM,RM_Type_IV,RM IV
851995,853737,Shedu,GCA_003940785.1,CP034337.1,defensefinder,Shedu,Unknown,Shedu,Shedu
2932226,2935710,Lamassu-Fam,GCA_011397855.1,AP022642.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
5165733,5168143,Septu,GCA_011397855.1,AP022642.1,defensefinder,Septu,Unknown,Septu,Septu
3786562,3787323,RM_Type_IV,GCA_019879085.1,CP082244.1,defensefinder,RM,RM,RM_Type_IV,RM IV
5282961,5286347,RM_Type_II,GCA_019879085.1,CP082244.1,defensefinder,RM,RM,RM_Type_II,RM II
317402,321907,Lamassu-Fam,GCA_000698265.1,CP007637.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
4422537,4426239,Lamassu-Fam,GCA_000698265.1,CP007637.1,defensefinder,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
192937,195215,PARIS_I,GCA_000934565.1,CP010896.1,defensefinder,PARIS,Abi,PARIS_I,PARIS I
2831462,2835547,Thoeris_I,GCA_000934565.1,CP010896.1,defensefinder,Thoeris,Abi,Thoeris_I,Thoeris I
36815,38125,Lit,GCA_000963495.1,CP005975.1,defensefinder,Lit,Abi,Lit,Lit
3010616,3017051,Mokosh_TypeI,GCA_000963495.1,CP005975.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
1818838,1820148,Lit,GCA_016134935.2,CP066169.2,defensefinder,Lit,Abi,Lit,Lit
386559,387416,RM_Type_IV,GCA_000021045.1,CP001157.1,defensefinder,RM,RM,RM_Type_IV,RM IV
3672551,3677985,RM_Type_II,GCA_000021045.1,CP001157.1,defensefinder,RM,RM,RM_Type_II,RM II
4938413,4939156,RM_Type_IV,GCA_000021045.1,CP001157.1,defensefinder,RM,RM,RM_Type_IV,RM IV
5283218,5288707,Mokosh_TypeI,GCA_000021045.1,CP001157.1,defensefinder,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
1731011,1732447,SEFIR,GCA_001043175.1,CP011494.1,defensefinder,SEFIR,Unknown,SEFIR,SEFIR
488287,489759,RM_Type_IIG,GCA_001043175.1,CP011494.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
42216,44471,RM_Type_IV,GCA_000015365.1,CP000514.1,defensefinder,RM,RM,RM_Type_IV,RM IV
1477293,1482548,RM_Type_IIG,GCA_000015365.1,CP000514.1,defensefinder,RM,RM,RM_Type_IIG,RM IIG
135499,140192,RM_Type_III,GCA_000015365.1,CP000515.1,defensefinder,RM,RM,RM_Type_III,RM III
168580,173225,RM_Type_III,GCA_000015365.1,CP000516.1,defensefinder,RM,RM,RM_Type_III,RM III
1642989,1646235,Menshen,GCA_000015365.1,CP000514.1,defensefinder,Menshen,Unknown,Menshen,Menshen
