genome,start,seqid,defense_system,source,end,system,class,defense_system2
GCA_019997225.1,69000,CP083187.1,SoFic,defensefinder,70133,SoFic,Unknown,SoFic
GCA_019997225.1,286994,CP083187.1,RM_Type_II,defensefinder,290693,RM,RM,RM II
GCA_019997225.1,2506525,CP083187.1,Abi2,defensefinder,2507376,Abi2,Abi,Abi2
GCA_019997225.1,141307,CP083187.1,RosmerTA,defensefinder,143274,RosmerTA,TA,RosmerTA
GCA_019997245.1,1617129,CP083198.1,Gabija,defensefinder,1621414,Gabija,Unknown,Gabija
GCA_019997245.1,2507767,CP083198.1,Abi2,defensefinder,2508618,Abi2,Abi,Abi2
GCA_019997245.1,160143,CP083198.1,RosmerTA,defensefinder,164600,RosmerTA,TA,RosmerTA
GCA_019997285.1,77619,CP083205.1,SoFic,defensefinder,78752,SoFic,Unknown,SoFic
GCA_019997285.1,147832,CP083205.1,RosmerTA,defensefinder,152288,RosmerTA,TA,RosmerTA
GCA_019997445.1,128644,CP083217.1,RosmerTA,defensefinder,133101,RosmerTA,TA,RosmerTA
GCA_019997565.1,1558699,CP083224.1,SoFic,defensefinder,1559832,SoFic,Unknown,SoFic
GCA_019997625.1,2507730,CP083191.1,Abi2,defensefinder,2508581,Abi2,Abi,Abi2
GCA_019997625.1,160142,CP083191.1,RosmerTA,defensefinder,164599,RosmerTA,TA,RosmerTA
GCA_019997705.1,2507761,CP083194.1,Abi2,defensefinder,2508660,Abi2,Abi,Abi2
GCA_019997705.1,160143,CP083194.1,RosmerTA,defensefinder,164600,RosmerTA,TA,RosmerTA
GCA_019997765.1,2507748,CP083201.1,Abi2,defensefinder,2508647,Abi2,Abi,Abi2
GCA_019997765.1,160145,CP083201.1,RosmerTA,defensefinder,164602,RosmerTA,TA,RosmerTA
GCA_019997785.1,2507783,CP083197.1,Abi2,defensefinder,2508634,Abi2,Abi,Abi2
GCA_019997785.1,160146,CP083197.1,RosmerTA,defensefinder,164604,RosmerTA,TA,RosmerTA
GCA_019997805.1,77615,CP083204.1,SoFic,defensefinder,78748,SoFic,Unknown,SoFic
GCA_019997805.1,1643259,CP083204.1,RM_Type_II,defensefinder,1647508,RM,RM,RM II
GCA_019997825.1,2507778,CP083196.1,Abi2,defensefinder,2508677,Abi2,Abi,Abi2
GCA_019997825.1,160144,CP083196.1,RosmerTA,defensefinder,164601,RosmerTA,TA,RosmerTA
GCA_019997845.1,2507752,CP083192.1,Abi2,defensefinder,2508603,Abi2,Abi,Abi2
GCA_019997845.1,160143,CP083192.1,RosmerTA,defensefinder,164600,RosmerTA,TA,RosmerTA
GCA_019997885.1,62230,CP083202.1,SoFic,defensefinder,63363,SoFic,Unknown,SoFic
GCA_019997905.1,1556996,CP083229.1,SoFic,defensefinder,1558129,SoFic,Unknown,SoFic
GCA_019997925.1,94272,CP083206.1,SoFic,defensefinder,95405,SoFic,Unknown,SoFic
GCA_019997925.1,164642,CP083206.1,RosmerTA,defensefinder,169099,RosmerTA,TA,RosmerTA
GCA_019997945.1,69000,CP083188.1,SoFic,defensefinder,70133,SoFic,Unknown,SoFic
GCA_019997945.1,287007,CP083188.1,RM_Type_II,defensefinder,290706,RM,RM,RM II
GCA_019997945.1,2506523,CP083188.1,Abi2,defensefinder,2507422,Abi2,Abi,Abi2
GCA_019997945.1,141313,CP083188.1,RosmerTA,defensefinder,143280,RosmerTA,TA,RosmerTA
GCA_019997965.1,90976,CP083184.1,SoFic,defensefinder,92109,SoFic,Unknown,SoFic
GCA_019997965.1,162632,CP083184.1,RosmerTA,defensefinder,167089,RosmerTA,TA,RosmerTA
GCA_019997985.1,146490,CP083222.1,RosmerTA,defensefinder,150946,RosmerTA,TA,RosmerTA
GCA_019998005.1,133983,CP083218.1,RosmerTA,defensefinder,138439,RosmerTA,TA,RosmerTA
GCA_019998025.1,69001,CP083189.1,SoFic,defensefinder,70134,SoFic,Unknown,SoFic
GCA_019998025.1,2506513,CP083189.1,Abi2,defensefinder,2507412,Abi2,Abi,Abi2
GCA_019998025.1,141309,CP083189.1,RosmerTA,defensefinder,143276,RosmerTA,TA,RosmerTA
GCA_019998045.1,69000,CP083190.1,SoFic,defensefinder,70133,SoFic,Unknown,SoFic
GCA_019998045.1,286998,CP083190.1,RM_Type_II,defensefinder,290696,RM,RM,RM II
GCA_019998045.1,2506497,CP083190.1,Abi2,defensefinder,2507348,Abi2,Abi,Abi2
GCA_019998045.1,138818,CP083190.1,RosmerTA,defensefinder,143275,RosmerTA,TA,RosmerTA
GCA_019998065.1,2063675,CP083223.1,RM_Type_II,defensefinder,2067924,RM,RM,RM II
GCA_019998065.1,610985,CP083223.1,RosmerTA,defensefinder,615441,RosmerTA,TA,RosmerTA
GCA_019998185.1,33731,CP083212.1,RM_Type_IV,defensefinder,35635,RM,RM,RM IV
GCA_019998185.1,2439063,CP083212.1,Abi2,defensefinder,2439914,Abi2,Abi,Abi2
GCA_019998185.1,136354,CP083212.1,RosmerTA,defensefinder,140811,RosmerTA,TA,RosmerTA
GCA_019998285.1,36970,CP083185.1,RM_Type_IIG,defensefinder,38154,RM,RM,RM IIG
GCA_019998285.1,134666,CP083185.1,RosmerTA,defensefinder,137915,RosmerTA,TA,RosmerTA
GCA_019998365.1,119460,CP083203.1,SoFic,defensefinder,120593,SoFic,Unknown,SoFic
GCA_019998365.1,2806161,CP083203.1,Abi2,defensefinder,2807012,Abi2,Abi,Abi2
GCA_019998365.1,189823,CP083203.1,RosmerTA,defensefinder,194280,RosmerTA,TA,RosmerTA
GCA_019998395.1,76279,CP083221.1,SoFic,defensefinder,77412,SoFic,Unknown,SoFic
GCA_019998395.1,146495,CP083221.1,RosmerTA,defensefinder,150951,RosmerTA,TA,RosmerTA
GCA_019998525.1,58454,CP083213.1,SoFic,defensefinder,59587,SoFic,Unknown,SoFic
GCA_019998525.1,2404467,CP083213.1,Abi2,defensefinder,2405318,Abi2,Abi,Abi2
GCA_019998525.1,128654,CP083213.1,RosmerTA,defensefinder,133111,RosmerTA,TA,RosmerTA
GCA_019998665.1,146481,CP083220.1,RosmerTA,defensefinder,149728,RosmerTA,TA,RosmerTA
GCA_019998685.1,94270,CP083210.1,SoFic,defensefinder,95403,SoFic,Unknown,SoFic
GCA_019998685.1,164640,CP083210.1,RosmerTA,defensefinder,169097,RosmerTA,TA,RosmerTA
GCA_019998705.1,76276,CP083225.1,SoFic,defensefinder,77409,SoFic,Unknown,SoFic
GCA_019998705.1,146486,CP083225.1,RosmerTA,defensefinder,150942,RosmerTA,TA,RosmerTA
GCA_019998745.1,65485,CP083211.1,SoFic,defensefinder,66618,SoFic,Unknown,SoFic
GCA_019998745.1,36895,CP083211.1,RM_Type_IIG,defensefinder,39333,RM,RM,RM IIG
GCA_019998745.1,150235,CP083211.1,RosmerTA,defensefinder,154692,RosmerTA,TA,RosmerTA
GCA_019998765.1,58454,CP083214.1,SoFic,defensefinder,59587,SoFic,Unknown,SoFic
GCA_019998765.1,2404560,CP083214.1,Abi2,defensefinder,2405459,Abi2,Abi,Abi2
GCA_019998765.1,128656,CP083214.1,RosmerTA,defensefinder,133113,RosmerTA,TA,RosmerTA
GCA_019998785.1,94273,CP083209.1,SoFic,defensefinder,95406,SoFic,Unknown,SoFic
GCA_019998785.1,164645,CP083209.1,RosmerTA,defensefinder,169102,RosmerTA,TA,RosmerTA
GCA_019998805.1,58454,CP083215.1,SoFic,defensefinder,59587,SoFic,Unknown,SoFic
GCA_019998805.1,2404460,CP083215.1,Abi2,defensefinder,2405311,Abi2,Abi,Abi2
GCA_019998805.1,128654,CP083215.1,RosmerTA,defensefinder,133111,RosmerTA,TA,RosmerTA
GCA_019998825.1,58455,CP083216.1,SoFic,defensefinder,59588,SoFic,Unknown,SoFic
GCA_019998825.1,2404466,CP083216.1,Abi2,defensefinder,2405398,Abi2,Abi,Abi2
GCA_019998825.1,128656,CP083216.1,RosmerTA,defensefinder,133113,RosmerTA,TA,RosmerTA
GCA_020693965.1,1641682,CP085724.1,RM_Type_IIG,defensefinder,1644951,RM,RM,RM IIG
GCA_020693965.1,1896745,CP085724.1,RM_Type_II,defensefinder,1905415,RM,RM,RM II
GCA_020693965.1,1572536,CP085724.1,Abi2,defensefinder,1573255,Abi2,Abi,Abi2
GCA_020693965.1,1739758,CP085724.1,RosmerTA,defensefinder,1744212,RosmerTA,TA,RosmerTA
GCA_020693985.1,36566,CP085723.1,RM_Type_IIG,defensefinder,39835,RM,RM,RM IIG
GCA_020693985.1,291626,CP085723.1,RM_Type_II,defensefinder,300185,RM,RM,RM II
GCA_020693985.1,2542813,CP085723.1,Abi2,defensefinder,2543532,Abi2,Abi,Abi2
GCA_020693985.1,134644,CP085723.1,RosmerTA,defensefinder,139099,RosmerTA,TA,RosmerTA
GCA_900636355.2,79459,LR134267.1,SoFic,defensefinder,80592,SoFic,Unknown,SoFic
GCA_900636355.2,52248,LR134267.1,RM_Type_II,defensefinder,53978,RM,RM,RM II
GCA_900636355.2,149857,LR134267.1,RosmerTA,defensefinder,154314,RosmerTA,TA,RosmerTA
GCA_000011625.1,931341,CP000001.1,Dynamins,defensefinder,936088,Dynamins,Unknown,Dynamins
GCA_000011625.1,3575231,CP000001.1,RM_Type_IV,defensefinder,3575746,RM,RM,RM IV
GCA_000011625.1,2184837,CP000001.1,RM_Type_IV,defensefinder,2186666,RM,RM,RM IV
GCA_000011625.1,2793237,CP000001.1,Dsr_I,defensefinder,2796749,dsr,Abi,dsr I
GCA_000833045.1,3274381,CP009968.1,RM_Type_IV,defensefinder,3276201,RM,RM,RM IV
GCA_000833045.1,1885598,CP009968.1,RM_Type_IV,defensefinder,1886017,RM,RM,RM IV
GCA_000833045.1,2664625,CP009968.1,Dsr_I,defensefinder,2668107,dsr,Abi,dsr I
GCA_000299555.2,2894955,CP039020.1,Lamassu-Fam,defensefinder,2898674,Lamassu,Unknown,Lamassu-Fam
GCA_001191605.1,1641455,CP009108.1,PARIS_II_merge,defensefinder,1643476,PARIS,Abi,PARIS II
GCA_001543165.1,1641455,CP009108.1,RM_Type_IIG,defensefinder,1643476,RM,RM,RM IIG
GCA_001908475.1,721053,CP018574.1,Lamassu-Fam,defensefinder,724480,Lamassu,Unknown,Lamassu-Fam
GCA_001908475.1,175479,CP018574.1,ShosTA,defensefinder,177725,ShosTA,TA,ShosTA
GCA_004563755.2,2356795,CP043559.1,RM_Type_IV,defensefinder,2357211,RM,RM,RM IV
GCA_005849435.1,2408443,CP040514.1,RM_Type_IV,defensefinder,2408949,RM,RM,RM IV
GCA_005849435.1,3786125,CP040514.1,Shedu,defensefinder,3786382,Shedu,Unknown,Shedu
GCA_007923025.1,3498956,CP031774.1,RM_Type_II,defensefinder,3502478,RM,RM,RM II
GCA_011067205.1,1201990,CP049589.1,SEFIR,defensefinder,1203396,SEFIR,Unknown,SEFIR
GCA_011067205.1,3843655,CP049589.1,RM_Type_II,defensefinder,3846540,RM,RM,RM II
GCA_011067205.1,186631,CP049589.1,PARIS_II,defensefinder,189087,PARIS,Abi,PARIS II
GCA_013283915.1,2696168,CP054136.1,RM_Type_IV,defensefinder,2698102,RM,RM,RM IV
GCA_013307105.1,2894938,CP038517.1,Lamassu-Fam,defensefinder,2898657,Lamassu,Unknown,Lamassu-Fam
GCA_015160895.1,1192492,CP063360.1,SEFIR,defensefinder,1193898,SEFIR,Unknown,SEFIR
GCA_016767855.1,46132,CP068389.1,RM_Type_IV,defensefinder,46638,RM,RM,RM IV
GCA_016767855.1,2461006,CP068389.1,Rst_TIR-NLR,defensefinder,2463528,Rst_TIR-NLR,Unknown,TIR-NLR
GCA_017948365.1,2361107,CP072851.1,RM_Type_IV,defensefinder,2361613,RM,RM,RM IV
GCA_017948365.1,2690929,CP072851.1,RM_Type_IV,defensefinder,2692863,RM,RM,RM IV
GCA_017948365.1,1174546,CP072851.1,RM_Type_IV,defensefinder,1174962,RM,RM,RM IV
GCA_017948365.1,684359,CP072851.1,Lamassu-Fam,defensefinder,687752,Lamassu,Unknown,Lamassu-Fam
GCA_019164215.1,684359,CP072851.1,Lamassu-Fam,defensefinder,687752,Lamassu,Unknown,Lamassu-Fam
GCA_019355135.1,2894521,CP048811.1,Lamassu-Fam,defensefinder,2898240,Lamassu,Unknown,Lamassu-Fam
GCA_021654615.1,1178019,AP025264.1,Septu,defensefinder,1180370,Septu,Unknown,Septu
GCA_004101925.1,2065915,CP026008.1,RM_Type_II,defensefinder,2068018,RM,RM,RM II
GCA_004101925.1,3808423,CP026008.1,RM_Type_IV,defensefinder,3808929,RM,RM,RM IV
GCA_001753205.1,353041,CP017560.1,SoFic,defensefinder,354141,SoFic,Unknown,SoFic
GCA_001753205.1,1826075,CP017560.1,Mokosh_TypeI,defensefinder,1830695,Mokosh,Unknown,Mokosh I
GCA_013693875.1,3574927,CP059262.1,RM_Type_IV,defensefinder,3578060,RM,RM,RM IV
GCA_013693875.1,399057,CP059262.1,Druantia_III,defensefinder,408225,Druantia,Unknown,Druantia III
GCA_900187055.1,1283791,LT906460.1,SoFic,defensefinder,1284912,SoFic,Unknown,SoFic
GCA_000018825.1,2164389,CP000903.1,RM_Type_IV,defensefinder,2166206,RM,RM,RM IV
GCA_000018825.1,2798333,CP000903.1,Dsr_I,defensefinder,2801815,dsr,Abi,dsr I
GCA_000017425.1,1777068,CP000764.1,RM_Type_IV,defensefinder,1778885,RM,RM,RM IV
GCA_000017425.1,2118735,CP000764.1,Dsr_I,defensefinder,2122235,dsr,Abi,dsr I
GCA_000015785.2,706770,CP000560.2,RM_Type_IV,defensefinder,707891,RM,RM,RM IV
GCA_000015785.2,3819762,CP000560.2,Lamassu-Fam,defensefinder,3823516,Lamassu,Unknown,Lamassu-Fam
GCA_020172645.1,4341147,CP083987.1,RM_Type_II,defensefinder,4344010,RM,RM,RM II
GCA_020172645.1,2120669,CP083987.1,RM_Type_IV,defensefinder,2122489,RM,RM,RM IV
GCA_020172645.1,1506624,CP083987.1,Dsr_I,defensefinder,1510136,dsr,Abi,dsr I
GCA_000283675.1,992334,AP007209.1,RM_Type_IV,defensefinder,998813,RM,RM,RM IV
GCA_000283675.1,2193283,AP007209.1,RM_Type_IV,defensefinder,2195103,RM,RM,RM IV
GCA_000283675.1,4840549,AP007209.1,RM_Type_III,defensefinder,4844456,RM,RM,RM III
GCA_000283675.1,2731048,AP007209.1,Dsr_I,defensefinder,2734560,dsr,Abi,dsr I
GCA_000169195.2,1428107,CP003056.1,Aditi,defensefinder,1430669,Aditi,Unknown,Aditi
GCA_000169195.2,1847540,CP003056.1,RM_Type_IV,defensefinder,1849567,RM,RM,RM IV
GCA_000169195.2,1973077,CP003056.1,RM_Type_IV,defensefinder,1976548,RM,RM,RM IV
GCA_000239195.1,772995,CP003187.1,RM_Type_IV,defensefinder,776159,RM,RM,RM IV
GCA_000239195.1,2161207,CP003187.1,RM_Type_IV,defensefinder,2163027,RM,RM,RM IV
GCA_000239195.1,4254364,CP003187.1,RM_Type_IV,defensefinder,4255140,RM,RM,RM IV
GCA_000239195.1,4424136,CP003187.1,Kiwa,defensefinder,4425798,Kiwa,Unknown,Kiwa
GCA_000239195.1,2706360,CP003187.1,Dsr_I,defensefinder,2709842,dsr,Abi,dsr I
GCA_000146875.2,1617871,CP000154.2,SEFIR,defensefinder,1619211,SEFIR,Unknown,SEFIR
GCA_000146875.2,3747227,CP000154.2,Aditi,defensefinder,3749789,Aditi,Unknown,Aditi
GCA_000146875.2,3616944,CP000154.2,RM_Type_IV,defensefinder,3617531,RM,RM,RM IV
GCA_014706555.1,1617872,CP048793.1,SEFIR,defensefinder,1619212,SEFIR,Unknown,SEFIR
GCA_014706555.1,3747228,CP048793.1,Aditi,defensefinder,3749790,Aditi,Unknown,Aditi
GCA_014706555.1,3616945,CP048793.1,RM_Type_IV,defensefinder,3617532,RM,RM,RM IV
GCA_014706575.1,1617854,CP048794.1,SEFIR,defensefinder,1619194,SEFIR,Unknown,SEFIR
GCA_014706575.1,3747177,CP048794.1,Aditi,defensefinder,3749739,Aditi,Unknown,Aditi
GCA_014706575.1,3616894,CP048794.1,RM_Type_IV,defensefinder,3617481,RM,RM,RM IV
GCA_000010165.1,1031604,AP008955.1,RM_Type_IV,defensefinder,1032236,RM,RM,RM IV
GCA_000010165.1,3713327,AP008955.1,RM_Type_IV,defensefinder,3714043,RM,RM,RM IV
GCA_000010165.1,3752780,AP008955.1,RM_Type_IV,defensefinder,3753862,RM,RM,RM IV
GCA_000010165.1,5899417,AP008955.1,RM_Type_IV,defensefinder,5900085,RM,RM,RM IV
GCA_000016805.1,450047,CP000703.1,Abi2,defensefinder,451021,Abi2,Abi,Abi2
GCA_000016805.1,155967,CP000703.1,RosmerTA,defensefinder,157915,RosmerTA,TA,RosmerTA
GCA_000023045.1,1976214,CP001615.1,RM_Type_IV,defensefinder,1976708,RM,RM,RM IV
GCA_000023045.1,2073393,CP001615.1,RM_Type_IV,defensefinder,2074433,RM,RM,RM IV
GCA_000013065.1,1001155,CP000227.1,RM_Type_IV,defensefinder,998618,RM,RM,RM IV
GCA_000013065.1,2192707,CP000227.1,RM_Type_IV,defensefinder,2194485,RM,RM,RM IV
GCA_004331915.1,1024596,CP036528.1,Aditi,defensefinder,1027155,Aditi,Unknown,Aditi
GCA_004331915.1,352273,CP036528.1,RM_Type_IV,defensefinder,352719,RM,RM,RM IV
GCA_002993865.1,420150,CP027476.1,Abi2,defensefinder,421088,Abi2,Abi,Abi2
GCA_002993865.1,2348663,CP027476.1,Dodola,defensefinder,2350591,Dodola,Unknown,Dodola
GCA_016772475.1,2780430,CP068595.1,RM_Type_IV,defensefinder,2782619,RM,RM,RM IV
GCA_016772475.1,15251,CP068597.1,Septu,defensefinder,17715,Septu,Unknown,Septu
GCA_016772475.1,5715962,CP068595.1,Shango,defensefinder,5721169,Shango,Unknown,Shango
GCA_013347265.1,923454,CP054612.1,RM_Type_IV,defensefinder,925694,RM,RM,RM IV
GCA_013347265.1,747835,CP054613.1,RM_Type_IV,defensefinder,748614,RM,RM,RM IV
GCA_000060285.1,1094293,AM263198.1,Lamassu-Fam,defensefinder,1097601,Lamassu,Unknown,Lamassu-Fam
GCA_000725365.1,22122,CP008877.1,RM_Type_IV,defensefinder,22793,RM,RM,RM IV
GCA_003429225.1,2165005,CP031749.1,RM_Type_IV,defensefinder,2166822,RM,RM,RM IV
GCA_003429225.1,2511419,CP031749.1,RM_Type_IV,defensefinder,2512636,RM,RM,RM IV
GCA_003429225.1,3437542,CP031749.1,RM_Type_IV,defensefinder,3438204,RM,RM,RM IV
GCA_003429225.1,2460457,CP031749.1,Nhi,defensefinder,2462259,AbiO/Nhi,RM,AbiO/Nhi
GCA_003429225.1,3132473,CP031749.1,Dsr_I,defensefinder,3135955,dsr,Abi,dsr I
GCA_000168575.2,1132295,CP002003.1,RM_Type_II,defensefinder,1134672,RM,RM,RM II
GCA_000168575.2,2406580,CP002003.1,RM_Type_II,defensefinder,2409823,RM,RM,RM II
GCA_000168575.2,504029,CP002003.1,AbiH,defensefinder,508965,AbiH,Abi,AbiH
GCA_000168635.2,2388546,CP002001.1,RM_Type_II,defensefinder,2390116,RM,RM,RM II
GCA_021378215.1,2408755,CP061814.1,RM_Type_II,defensefinder,2409776,RM,RM,RM II
GCA_021378215.1,1132019,CP061814.1,RM_Type_II,defensefinder,1134396,RM,RM,RM II
GCA_021378215.1,507812,CP061814.1,AbiH,defensefinder,508699,AbiH,Abi,AbiH
GCA_021378215.1,503718,CP061814.1,AbiH,defensefinder,504635,AbiH,Abi,AbiH
GCA_000009405.1,2377868,AM295250.1,Bunzi,defensefinder,2381012,Bunzi,Unknown,Bunzi
GCA_000009405.1,2534419,AM295250.1,RM_Type_IV,defensefinder,2535147,RM,RM,RM IV
GCA_000005825.2,3014916,CP001878.2,Tiamat,defensefinder,3019946,Tiamat,Unknown,Tiamat
GCA_000005825.2,2995152,CP001878.2,Lamassu-Fam,defensefinder,2999553,Lamassu,Unknown,Lamassu-Fam
GCA_000005825.2,3572297,CP001878.2,AbiH,defensefinder,3573016,AbiH,Abi,AbiH
GCA_002097535.1,344935,CP020772.1,RM_Type_IV,defensefinder,345549,RM,RM,RM IV
GCA_000021305.1,2128017,CP001186.1,RM_Type_IV,defensefinder,2129834,RM,RM,RM IV
GCA_000021305.1,925067,CP001186.1,RM_Type_IV,defensefinder,925615,RM,RM,RM IV
GCA_000021305.1,2874593,CP001186.1,Dsr_I,defensefinder,2878075,dsr,Abi,dsr I
GCA_000021205.1,416220,CP001176.1,RM_Type_IV,defensefinder,418211,RM,RM,RM IV
GCA_000021205.1,945377,CP001176.1,RM_Type_IV,defensefinder,947911,RM,RM,RM IV
GCA_000021205.1,2168040,CP001176.1,RM_Type_IV,defensefinder,2169857,RM,RM,RM IV
GCA_000021205.1,2834856,CP001176.1,Dsr_I,defensefinder,2838338,dsr,Abi,dsr I
GCA_000021205.1,1711454,CP001176.1,Mokosh_TypeI,defensefinder,3082942,Mokosh,Unknown,Mokosh I
GCA_000021225.1,2234478,CP001177.1,RM_Type_IV,defensefinder,2236298,RM,RM,RM IV
GCA_000021225.1,1032854,CP001177.1,RM_Type_IV,defensefinder,1033402,RM,RM,RM IV
GCA_000021225.1,1036799,CP001177.1,RM_Type_IV,defensefinder,1039333,RM,RM,RM IV
GCA_000021225.1,2773931,CP001177.1,Dsr_I,defensefinder,2777413,dsr,Abi,dsr I
GCA_000021785.1,2193178,CP001283.1,RM_Type_IV,defensefinder,2194998,RM,RM,RM IV
GCA_000021785.1,2795000,CP001283.1,Dsr_I,defensefinder,2798482,dsr,Abi,dsr I
GCA_015832345.1,5941180,CP065421.1,Dazbog,defensefinder,5943707,Dazbog,Unknown,Dazbog
GCA_015832345.1,4187499,CP065421.1,Menshen,defensefinder,4190670,Menshen,Unknown,Menshen
GCA_015832345.1,5472876,CP065421.1,Mokosh_TypeI,defensefinder,5478370,Mokosh,Unknown,Mokosh I
GCA_017743055.1,2689223,CP072473.1,RM_Type_IV,defensefinder,2690857,RM,RM,RM IV
GCA_017743055.1,2034160,CP072473.1,RM_Type_IV,defensefinder,2035443,RM,RM,RM IV
GCA_017743055.1,2032098,CP072473.1,RM_Type_IV,defensefinder,2034176,RM,RM,RM IV
GCA_017743055.1,75546,CP072475.1,RM_Type_IV,defensefinder,76187,RM,RM,RM IV
GCA_017743055.1,5434,CP072478.1,RM_Type_IV,defensefinder,6099,RM,RM,RM IV
GCA_017743055.1,324821,CP072473.1,PsyrTA,defensefinder,330045,PsyrTA,TA,PsyrTA
GCA_000015065.1,963500,CP000485.1,RM_Type_IV,defensefinder,966034,RM,RM,RM IV
GCA_000015065.1,970321,CP000485.1,RM_Type_IIG,defensefinder,974322,RM,RM,RM IIG
GCA_000015065.1,2193148,CP000485.1,RM_Type_IV,defensefinder,2194977,RM,RM,RM IV
GCA_000015065.1,2805000,CP000485.1,Dsr_I,defensefinder,2808512,dsr,Abi,dsr I
GCA_002192415.1,2385603,CP021780.1,RM_Type_IV,defensefinder,2386184,RM,RM,RM IV
GCA_002192415.1,6984449,CP021780.1,RM_Type_IV,defensefinder,6985474,RM,RM,RM IV
GCA_002192415.1,7988196,CP021780.1,RM_Type_IV,defensefinder,7990382,RM,RM,RM IV
GCA_002192415.1,4988959,CP021780.1,Lamassu-Fam,defensefinder,4992448,Lamassu,Unknown,Lamassu-Fam
GCA_002192415.1,6206708,CP021780.1,Lit,defensefinder,6207799,Lit,Abi,Lit
GCA_002192415.1,3798569,CP021780.1,DarTG,defensefinder,3800450,darTG,TA,DarTG
GCA_002192415.1,4996690,CP021780.1,ShosTA,defensefinder,4998312,ShosTA,TA,ShosTA
GCA_001687665.2,3108487,CP016543.2,RM_Type_IV,defensefinder,3110367,RM,RM,RM IV
GCA_004367585.1,2651415,CP038015.1,RM_Type_IV,defensefinder,2651780,RM,RM,RM IV
GCA_004367585.1,13329,CP038016.1,RM_Type_IIG,defensefinder,17642,RM,RM,RM IIG
GCA_000010445.1,413226,AP009324.1,Abi2,defensefinder,414200,Abi2,Abi,Abi2
GCA_000010445.1,162084,AP009324.1,RosmerTA,defensefinder,164032,RosmerTA,TA,RosmerTA
GCA_000015745.1,171689,CP000557.1,RM_Type_IV,defensefinder,173776,RM,RM,RM IV
GCA_000015745.1,1302185,CP000557.1,RM_Type_IV,defensefinder,1303237,RM,RM,RM IV
GCA_003410415.1,4170582,CP030926.1,ShosTA,defensefinder,4243998,ShosTA,TA,ShosTA
GCA_014673475.1,4170582,CP030926.1,ShosTA,defensefinder,4243998,ShosTA,TA,ShosTA
GCA_000010465.1,409748,AP009351.1,Abi2,defensefinder,410722,Abi2,Abi,Abi2
GCA_000010465.1,2353183,AP009351.1,Dodola,defensefinder,2355111,Dodola,Unknown,Dodola
GCA_002310435.1,409748,CP023390.1,Abi2,defensefinder,410686,Abi2,Abi,Abi2
GCA_000093085.1,224746,CP001791.1,Dynamins,defensefinder,228664,Dynamins,Unknown,Dynamins
GCA_000093085.1,3263479,CP001791.1,RM_Type_IV,defensefinder,3263988,RM,RM,RM IV
GCA_000017965.1,3445257,CP000817.1,Lamassu-Fam,defensefinder,3448869,Lamassu,Unknown,Lamassu-Fam
GCA_000017965.1,930649,CP000817.1,Mokosh_TypeI,defensefinder,935206,Mokosh,Unknown,Mokosh I
GCA_004006475.1,4502906,CP030063.1,RM_Type_IV,defensefinder,4504609,RM,RM,RM IV
GCA_000013465.1,420153,CP000255.1,Abi2,defensefinder,421091,Abi2,Abi,Abi2
GCA_000017085.1,420048,CP000730.1,Abi2,defensefinder,421022,Abi2,Abi,Abi2
GCA_000017085.1,2348818,CP000730.1,Dodola,defensefinder,2350746,Dodola,Unknown,Dodola
GCA_000832865.1,863982,CP009641.1,RM_Type_IV,defensefinder,865802,RM,RM,RM IV
GCA_000832865.1,231062,CP009636.1,Stk2,defensefinder,232000,Stk2,Abi,Stk2
GCA_000832865.1,1472644,CP009641.1,Dsr_I,defensefinder,1476126,dsr,Abi,dsr I
GCA_000010585.1,33813,AP009486.1,SEFIR,defensefinder,34469,SEFIR,Unknown,SEFIR
GCA_000010585.1,1602062,AP009484.1,RM_Type_IV,defensefinder,1602967,RM,RM,RM IV
GCA_000010585.1,19552,AP009486.1,RM_Type_IV,defensefinder,20037,RM,RM,RM IV
GCA_000010585.1,238845,AP009484.1,Dodola,defensefinder,240826,Dodola,Unknown,Dodola
GCA_007833955.1,238845,AP009484.1,Dodola,defensefinder,240826,Dodola,Unknown,Dodola
GCA_013368775.1,1129684,CP051177.1,RM_Type_IV,defensefinder,1130970,RM,RM,RM IV
GCA_013368775.1,2240664,CP051177.1,RM_Type_IV,defensefinder,2242562,RM,RM,RM IV
GCA_013368775.1,1130976,CP051177.1,RM_Type_IV,defensefinder,1132559,RM,RM,RM IV
GCA_013368775.1,2252650,CP051177.1,RosmerTA,defensefinder,2254619,RosmerTA,TA,RosmerTA
GCA_013368775.1,2318666,CP051177.1,Mokosh_TypeI,defensefinder,2323205,Mokosh,Unknown,Mokosh I
GCA_017298635.1,4674808,CP071182.1,RM_Type_IV,defensefinder,4675443,RM,RM,RM IV
GCA_017298635.1,1083670,CP071182.1,RM_Type_IV,defensefinder,1085757,RM,RM,RM IV
GCA_017298655.1,5027168,CP071184.1,RM_Type_IV,defensefinder,5027878,RM,RM,RM IV
GCA_017298655.1,5901975,CP071184.1,RM_Type_IV,defensefinder,5902586,RM,RM,RM IV
GCA_017298655.1,2179923,CP071184.1,RM_Type_IV,defensefinder,2182127,RM,RM,RM IV
GCA_017298655.1,885485,CP071184.1,Lamassu-Fam,defensefinder,889012,Lamassu,Unknown,Lamassu-Fam
GCA_017298655.1,2133853,CP071184.1,Mokosh_TypeI,defensefinder,2141199,Mokosh,Unknown,Mokosh I
