start,defense_system,source,end,genome,seqid,system,class,original,defense_system2
1798,RM_Type_II,defensefinder,2982,GCA_000015505.1,CP000535.1,RM,RM,RM_Type_II,RM II
2881969,AbiEii,defensefinder,2883850,GCA_000015505.1,CP000529.1,AbiE,Abi,AbiEii,AbiEii
62792,Lamassu-Fam,defensefinder,66152,GCA_000015505.1,CP000532.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
3125367,PsyrTA,defensefinder,3128818,GCA_000015505.1,CP000529.1,PsyrTA,TA,PsyrTA,PsyrTA
130614,Mokosh_TypeI,defensefinder,136801,GCA_000015505.1,CP000530.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
177990,Mokosh_TypeI,defensefinder,184306,GCA_000015505.1,CP000531.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
28607,RosmerTA,defensefinder,31463,GCA_000015505.1,CP000534.1,RosmerTA,TA,RosmerTA,RosmerTA
5498,RM_Type_II,defensefinder,7731,GCA_000215705.1,CP000245.1,RM,RM,RM_Type_II,RM II
10264,RM_Type_IIG,defensefinder,7724,GCA_000215705.1,CP000245.1,RM,RM,RM_Type_IIG,RM IIG
12207,RM_Type_IV,defensefinder,15023,GCA_000215705.1,CP000245.1,RM,RM,RM_Type_IV,RM IV
3893990,RM_Type_II,defensefinder,3895476,GCA_000215705.1,CP000245.1,RM,RM,RM_Type_II,RM II
408194,RM_Type_IV,defensefinder,411576,GCA_001854325.1,CP017754.1,RM,RM,RM_Type_IV,RM IV
2729799,Lamassu-Fam,defensefinder,2738624,GCA_001854325.1,CP017754.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
356419,RM_Type_IV,defensefinder,357708,GCA_002327145.1,CP023422.1,RM,RM,RM_Type_IV,RM IV
360507,RM_Type_III,defensefinder,364894,GCA_002327145.1,CP023422.1,RM,RM,RM_Type_III,RM III
357701,RM_Type_IV,defensefinder,358855,GCA_002327145.1,CP023422.1,RM,RM,RM_Type_IV,RM IV
3362471,dCTPdeaminase,defensefinder,3363547,GCA_002327145.1,CP023422.1,dCTPdeaminase,Nucleotide_depletion,dCTPdeaminase,dCTPdeaminase
1123758,Olokun,defensefinder,1127571,GCA_000013625.1,CP000269.1,Olokun,Unknown,Olokun,Olokun
3823708,RM_Type_IV,defensefinder,3825333,GCA_000013625.1,CP000269.1,RM,RM,RM_Type_IV,RM IV
1704647,RM_Type_II,defensefinder,1708685,GCA_020080045.1,CP083451.1,RM,RM,RM_Type_II,RM II
14773,RM_Type_IV,defensefinder,23551,GCA_000009285.2,AM260479.1,RM,RM,RM_Type_IV,RM IV
14773,RM_Type_IV,defensefinder,23551,GCA_004798725.1,CP039287.1,RM,RM,RM_Type_IV,RM IV
17166,RM_Type_IV,defensefinder,18512,GCA_004798725.1,CP039287.1,RM,RM,RM_Type_IV,RM IV
1503561,RM_Type_IV,defensefinder,1504163,GCA_000020045.1,CP001045.1,RM,RM,RM_Type_IV,RM IV
1574403,RM_Type_IV,defensefinder,1577845,GCA_000020045.1,CP001045.1,RM,RM,RM_Type_IV,RM IV
86718,RM_Type_IV,defensefinder,88019,GCA_000020045.1,CP001046.1,RM,RM,RM_Type_IV,RM IV
589613,RM_Type_II,defensefinder,590466,GCA_000015565.1,CP000542.1,RM,RM,RM_Type_II,RM II
698805,RM_Type_II,defensefinder,700377,GCA_000015565.1,CP000542.1,RM,RM,RM_Type_II,RM II
1447655,RM_Type_IIG,defensefinder,1451983,GCA_000015565.1,CP000542.1,RM,RM,RM_Type_IIG,RM IIG
1301909,Nhi,defensefinder,1303930,GCA_000015565.1,CP000542.1,AbiO/Nhi,RM,Nhi,AbiO/Nhi
1778596,AbiEii,defensefinder,1780567,GCA_000010545.1,AP009385.1,AbiE,Abi,AbiEii,AbiEii
1744155,AbiEii,defensefinder,1746177,GCA_000018505.1,CP000868.1,AbiE,Abi,AbiEii,AbiEii
568116,SEFIR,defensefinder,569777,GCA_000015325.1,CP000512.1,SEFIR,Unknown,SEFIR,SEFIR
1512242,RM_Type_IV,defensefinder,1513174,GCA_000015325.1,CP000512.1,RM,RM,RM_Type_IV,RM IV
320259,SoFic,defensefinder,321455,GCA_000020125.1,CP001052.1,SoFic,Unknown,SoFic,SoFic
4170710,dCTPdeaminase,defensefinder,4172344,GCA_000020125.1,CP001052.1,dCTPdeaminase,Nucleotide_depletion,dCTPdeaminase,dCTPdeaminase
4314966,Dsr_I,defensefinder,4317170,GCA_000020125.1,CP001052.1,dsr,Abi,Dsr_I,dsr I
2741783,Azaca,defensefinder,2747369,GCA_000020125.1,CP001053.1,Azaca,Unknown,Azaca,Azaca
1757489,AbiEii,defensefinder,1759433,GCA_000019925.1,CP001025.1,AbiE,Abi,AbiEii,AbiEii
302604,Lamassu-Fam,defensefinder,306360,GCA_000019925.1,CP001026.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
2548071,Lamassu-Fam,defensefinder,2551769,GCA_000019925.1,CP001026.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
1190054,SoFic,defensefinder,1191235,GCA_000018665.1,CP000884.1,SoFic,Unknown,SoFic,SoFic
3471357,RM_Type_IV,defensefinder,3472349,GCA_000018665.1,CP000884.1,RM,RM,RM_Type_IV,RM IV
4294494,RM_Type_IV,defensefinder,4295435,GCA_000018665.1,CP000884.1,RM,RM,RM_Type_IV,RM IV
4584629,RM_Type_IV,defensefinder,4587271,GCA_000018665.1,CP000884.1,RM,RM,RM_Type_IV,RM IV
5154929,RM_Type_II,defensefinder,5157449,GCA_000018665.1,CP000884.1,RM,RM,RM_Type_II,RM II
1944652,Lamassu-Fam,defensefinder,1948228,GCA_000018665.1,CP000884.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
1927503,Septu,defensefinder,1929798,GCA_000018665.1,CP000884.1,Septu,Unknown,Septu,Septu
875166,Tiamat,defensefinder,879443,GCA_003955735.1,CP034464.1,Tiamat,Unknown,Tiamat,Tiamat
1685969,Lit,defensefinder,1686667,GCA_003955735.1,CP034464.1,Lit,Abi,Lit,Lit
1686998,dCTPdeaminase,defensefinder,1688515,GCA_003955735.1,CP034464.1,dCTPdeaminase,Nucleotide_depletion,dCTPdeaminase,dCTPdeaminase
1688701,Nhi,defensefinder,1690683,GCA_003955735.1,CP034464.1,AbiO/Nhi,RM,Nhi,AbiO/Nhi
1808143,AbiEii,defensefinder,1810087,GCA_000019505.1,CP000958.1,AbiE,Abi,AbiEii,AbiEii
462502,RosmerTA,defensefinder,464247,GCA_000019505.1,CP000958.1,RosmerTA,TA,RosmerTA,RosmerTA
4682038,Lamassu-Fam,defensefinder,4685671,GCA_001017435.1,CP011371.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
11121,SoFic,defensefinder,12272,GCA_000015725.1,CP000555.1,SoFic,Unknown,SoFic,SoFic
28381,RM_Type_IV,defensefinder,29043,GCA_000015725.1,CP000556.1,RM,RM,RM_Type_IV,RM IV
89940,RM_Type_IIG,defensefinder,94787,GCA_000015725.1,CP000556.1,RM,RM,RM_Type_IIG,RM IIG
571805,dCTPdeaminase,defensefinder,573373,GCA_000015725.1,CP000555.1,dCTPdeaminase,Nucleotide_depletion,dCTPdeaminase,dCTPdeaminase
2073672,Rst_gop_beta_cll,defensefinder,2075906,GCA_000015725.1,CP000555.1,gop_beta_cll,Unknown,Rst_gop_beta_cll,gop_beta_cll
2631250,SoFic,defensefinder,2632449,GCA_007556815.1,CP041745.1,SoFic,Unknown,SoFic,SoFic
2249414,RM_Type_IIG,defensefinder,2253178,GCA_000253115.1,FP475956.1,RM,RM,RM_Type_IIG,RM IIG
3243705,RM_Type_IV,defensefinder,3244628,GCA_000253115.1,FP475956.1,RM,RM,RM_Type_IV,RM IV
10059,RM_Type_IV,defensefinder,8734,GCA_001462435.1,CM003626.1,RM,RM,RM_Type_IV,RM IV
37882,RM_Type_IV,defensefinder,38727,GCA_001462435.1,CM003626.1,RM,RM,RM_Type_IV,RM IV
3583301,RM_Type_II,defensefinder,3588488,GCA_016027455.1,CP065686.1,RM,RM,RM_Type_II,RM II
3676229,RM_Type_IIG,defensefinder,3681196,GCA_016027455.1,CP065686.1,RM,RM,RM_Type_IIG,RM IIG
1811126,RM_Type_IV,defensefinder,1811926,GCA_901827205.1,LR594675.1,RM,RM,RM_Type_IV,RM IV
3088247,Lamassu-Fam,defensefinder,3093437,GCA_901827205.1,LR594675.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
1669010,RM_Type_IV,defensefinder,1669864,GCA_901827155.1,LR594659.1,RM,RM,RM_Type_IV,RM IV
4301830,Lamassu-Fam,defensefinder,4307215,GCA_901827155.1,LR594659.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
744070,Nhi,defensefinder,746055,GCA_009859815.1,CP044975.1,AbiO/Nhi,RM,Nhi,AbiO/Nhi
250157,Gabija,defensefinder,253295,GCA_009859815.1,CP044976.1,Gabija,Unknown,Gabija,Gabija
744070,Nhi,defensefinder,746055,GCA_010104355.1,CP044972.1,AbiO/Nhi,RM,Nhi,AbiO/Nhi
250157,Gabija,defensefinder,253295,GCA_010104355.1,CP044973.1,Gabija,Unknown,Gabija,Gabija
1326,RM_Type_II,defensefinder,3473,GCA_901827185.1,LR594674.1,RM,RM,RM_Type_II,RM II
2988984,PARIS_II,defensefinder,2991486,GCA_901827185.1,LR594671.1,PARIS,Abi,PARIS_II,PARIS II
1771291,Olokun,defensefinder,1774007,GCA_002291405.1,CP023284.1,Olokun,Unknown,Olokun,Olokun
6325586,SoFic,defensefinder,6326677,GCA_002291405.1,CP023284.1,SoFic,Unknown,SoFic,SoFic
739394,Gabija,defensefinder,745950,GCA_002291405.1,CP023284.1,Gabija,Unknown,Gabija,Gabija
136741,PsyrTA,defensefinder,1401139,GCA_000959265.1,CP009536.1,PsyrTA,TA,PsyrTA,PsyrTA
578580,AbiEii,defensefinder,580491,GCA_000959365.1,CP009555.1,AbiE,Abi,AbiEii,AbiEii
881130,Mokosh_TypeII,defensefinder,884714,GCA_000959365.1,CP009556.1,Mokosh,Unknown,Mokosh_TypeII,Mokosh II
3048289,AbiEii,defensefinder,3050200,GCA_001522135.2,CP013358.1,AbiE,Abi,AbiEii,AbiEii
352986,Mokosh_TypeII,defensefinder,356570,GCA_001522135.2,CP013359.1,Mokosh,Unknown,Mokosh_TypeII,Mokosh II
4110079,ShosTA,defensefinder,4111645,GCA_001522105.2,CP013357.1,ShosTA,TA,ShosTA,ShosTA
340266,Mokosh_TypeII,defensefinder,343850,GCA_001522105.2,CP013356.1,Mokosh,Unknown,Mokosh_TypeII,Mokosh II
2082690,RM_Type_IV,defensefinder,2083310,GCA_001017775.3,CP011568.3,RM,RM,RM_Type_IV,RM IV
927068,Azaca,defensefinder,933620,GCA_001017775.3,CP011568.3,Azaca,Unknown,Azaca,Azaca
1701396,RM_Type_IV,defensefinder,1702040,GCA_001931675.1,CP014839.1,RM,RM,RM_Type_IV,RM IV
545774,Azaca,defensefinder,552278,GCA_001931675.1,CP014839.1,Azaca,Unknown,Azaca,Azaca
5213758,Lamassu-Fam,defensefinder,5220995,GCA_001676725.1,CP016172.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
2213270,Mokosh_TypeI,defensefinder,2223418,GCA_002119705.1,CP021107.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
5037987,SoFic,defensefinder,5039123,GCA_001676705.1,CP016170.1,SoFic,Unknown,SoFic,SoFic
632278,RM_Type_IIG,defensefinder,636786,GCA_001676705.1,CP016170.1,RM,RM,RM_Type_IIG,RM IIG
5119688,SoFic,defensefinder,5120824,GCA_001676745.1,CP016171.1,SoFic,Unknown,SoFic,SoFic
1050923,RM_Type_IV,defensefinder,1054347,GCA_000012945.1,CP000150.1,RM,RM,RM_Type_IV,RM IV
1809220,AbiEii,defensefinder,1811164,GCA_000012945.1,CP000151.1,AbiE,Abi,AbiEii,AbiEii
13686,RM_Type_IV,defensefinder,15338,GCA_001718575.1,CP013404.1,RM,RM,RM_Type_IV,RM IV
7154,ShosTA,defensefinder,8850,GCA_001718575.1,CP013404.1,ShosTA,TA,ShosTA,ShosTA
2064171,AbiEii,defensefinder,2066115,GCA_003711145.1,CP024943.1,AbiE,Abi,AbiEii,AbiEii
3268040,dCTPdeaminase,defensefinder,3269680,GCA_001718795.1,CP013435.1,dCTPdeaminase,Nucleotide_depletion,dCTPdeaminase,dCTPdeaminase
236838,Lamassu-Fam,defensefinder,240594,GCA_001718795.1,CP013438.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
1680361,AbiEii,defensefinder,1682305,GCA_017815615.1,CP072604.1,AbiE,Abi,AbiEii,AbiEii
3332611,AbiEii,defensefinder,3334555,GCA_001029145.1,CP009743.1,AbiE,Abi,AbiEii,AbiEii
654913,AbiEii,defensefinder,656857,GCA_002924455.1,CM009575.1,AbiE,Abi,AbiEii,AbiEii
1806968,Gao_Ape,defensefinder,1808692,GCA_002924455.1,CM009576.1,ApeA,Unknown,Gao_Ape,ApeA
1493130,Hachiman,defensefinder,1497057,GCA_002924455.1,CM009576.1,Hachiman,Unknown,Hachiman,Hachiman
1786986,AbiEii,defensefinder,1788930,GCA_003704285.1,CP013390.1,AbiE,Abi,AbiEii,AbiEii
406783,Lamassu-Fam,defensefinder,410121,GCA_003704285.1,CP013391.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
883072,Mokosh_TypeI,defensefinder,889106,GCA_003704285.1,CP013390.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
2377859,Mokosh_TypeI,defensefinder,2384291,GCA_007724625.1,CP042164.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
2474077,Mokosh_TypeI,defensefinder,2480509,GCA_009191525.1,CP028807.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
2386772,Mokosh_TypeI,defensefinder,2388746,GCA_009755625.1,CP046609.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
1281582,Lamassu-Fam,defensefinder,1286737,GCA_018223785.1,CP073665.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
1072503,Mokosh_TypeI,defensefinder,1078935,GCA_018223785.1,CP073665.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
2336307,Lamassu-Fam,defensefinder,2339976,GCA_019915365.1,CP082807.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
2523510,Mokosh_TypeI,defensefinder,2529942,GCA_019915365.1,CP082807.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
353695,RM_Type_IIG,defensefinder,358719,GCA_001718555.1,CP013403.1,RM,RM,RM_Type_IIG,RM IIG
3007901,Gao_Ape,defensefinder,3009619,GCA_000705535.2,CP072520.1,ApeA,Unknown,Gao_Ape,ApeA
284637,RosmerTA,defensefinder,286489,GCA_000705535.2,CP072520.1,RosmerTA,TA,RosmerTA,RosmerTA
1983851,RM_Type_IV,defensefinder,1985146,GCA_000022305.1,CP001392.1,RM,RM,RM_Type_IV,RM IV
1389382,RosmerTA,defensefinder,1391231,GCA_000022305.1,CP001392.1,RosmerTA,TA,RosmerTA,RosmerTA
2300897,AbiEii,defensefinder,2302778,GCA_002157125.1,CP021366.1,AbiE,Abi,AbiEii,AbiEii
2502342,RM_Type_IV,defensefinder,2503262,GCA_002157145.1,CP021361.1,RM,RM,RM_Type_IV,RM IV
1386851,RM_Type_IIG,defensefinder,1389223,GCA_002157145.1,CP021361.1,RM,RM,RM_Type_IIG,RM IIG
2278653,AbiEii,defensefinder,2280534,GCA_002157145.1,CP021361.1,AbiE,Abi,AbiEii,AbiEii
2547409,RM_Type_IIG,defensefinder,2551956,GCA_002157165.1,CP021359.1,RM,RM,RM_Type_IIG,RM IIG
2296345,AbiEii,defensefinder,2298226,GCA_002157165.1,CP021359.1,AbiE,Abi,AbiEii,AbiEii
1778261,AbiEii,defensefinder,1780142,GCA_002157185.1,CP021362.1,AbiE,Abi,AbiEii,AbiEii
1898194,RM_Type_IV,defensefinder,1900887,GCA_900634615.1,LR131956.1,RM,RM,RM_Type_IV,RM IV
2404918,RM_Type_IV,defensefinder,2405796,GCA_900634615.1,LR131956.1,RM,RM,RM_Type_IV,RM IV
3175280,RM_Type_IIG,defensefinder,3177943,GCA_900634615.1,LR131956.1,RM,RM,RM_Type_IIG,RM IIG
3229776,RM_Type_IV,defensefinder,3230591,GCA_900634615.1,LR131956.1,RM,RM,RM_Type_IV,RM IV
196545,RM_Type_IV,defensefinder,198380,GCA_000756185.1,CP008777.1,RM,RM,RM_Type_IV,RM IV
4122365,SoFic,defensefinder,4123546,GCA_016027815.1,CP065748.1,SoFic,Unknown,SoFic,SoFic
781529,Lit,defensefinder,782398,GCA_016027815.1,CP065748.1,Lit,Abi,Lit,Lit
1842443,Lamassu-Fam,defensefinder,1848407,GCA_016027815.1,CP065748.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
3329119,Lamassu-Fam,defensefinder,3332695,GCA_016027815.1,CP065748.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
3350144,Septu,defensefinder,3352439,GCA_016027815.1,CP065748.1,Septu,Unknown,Septu,Septu
6363585,SoFic,defensefinder,6364766,GCA_016845925.1,CP069318.1,SoFic,Unknown,SoFic,SoFic
5458385,Lamassu-Fam,defensefinder,5461841,GCA_016845925.1,CP069318.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
5591163,Lamassu-Fam,defensefinder,5594739,GCA_016845925.1,CP069318.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
3145225,Lamassu-Fam,defensefinder,3148885,GCA_016845925.1,CP069318.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
5609593,Septu,defensefinder,5611888,GCA_016845925.1,CP069318.1,Septu,Unknown,Septu,Septu
2192407,Mokosh_TypeI,defensefinder,2202353,GCA_000306945.1,HE965805.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
646201,Mokosh_TypeI,defensefinder,656199,GCA_000318015.1,HE965806.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
2834868,Mokosh_TypeI,defensefinder,2840657,GCA_000318015.1,HE965806.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
34083,AbiEii,defensefinder,35835,GCA_001874545.1,CP015016.1,AbiE,Abi,AbiEii,AbiEii
34083,AbiEii,defensefinder,35835,GCA_001874565.1,CP015017.1,AbiE,Abi,AbiEii,AbiEii
316701,SoFic,defensefinder,317780,GCA_018687575.1,CP061297.1,SoFic,Unknown,SoFic,SoFic
316701,Zorya_TypeII,defensefinder,317780,GCA_018687595.1,CP061297.1,Zorya,Unknown,Zorya_TypeII,Zorya II
5782453,SoFic,defensefinder,5783604,GCA_000184745.1,CP002417.1,SoFic,Unknown,SoFic,SoFic
747382,RM_Type_IV,defensefinder,748536,GCA_000184745.1,CP002417.1,RM,RM,RM_Type_IV,RM IV
100286,RM_Type_III,defensefinder,97530,GCA_000179015.2,CP002450.1,RM,RM,RM_Type_III,RM III
102831,RM_Type_IV,defensefinder,103667,GCA_000179015.2,CP002450.1,RM,RM,RM_Type_IV,RM IV
500766,dCTPdeaminase,defensefinder,502439,GCA_000179015.2,CP002449.1,dCTPdeaminase,Nucleotide_depletion,dCTPdeaminase,dCTPdeaminase
1746187,ShosTA,defensefinder,1747702,GCA_000179015.2,CP002449.1,ShosTA,TA,ShosTA,ShosTA
1905868,RM_Type_IIG,defensefinder,1908831,GCA_000204645.1,CP002657.1,RM,RM,RM_Type_IIG,RM IIG
2905790,RM_Type_IIG,defensefinder,2908777,GCA_000204645.1,CP002657.1,RM,RM,RM_Type_IIG,RM IIG
3436225,Septu,defensefinder,3438694,GCA_000204645.1,CP002657.1,Septu,Unknown,Septu,Septu
1054070,SEFIR,defensefinder,1054828,GCA_000022645.2,CP001503.2,SEFIR,Unknown,SEFIR,SEFIR
2032497,RM_Type_II,defensefinder,2034487,GCA_000022645.2,CP001504.2,RM,RM,RM_Type_II,RM II
116462,RM_Type_I,defensefinder,124913,GCA_008329925.1,CP035708.1,RM,RM,RM_Type_I,RM I
119358,RosmerTA,defensefinder,121164,GCA_008329925.1,CP035708.1,RosmerTA,TA,RosmerTA,RosmerTA
5349315,SoFic,defensefinder,5350397,GCA_000176855.2,CP002521.1,SoFic,Unknown,SoFic,SoFic
1564899,RM_Type_IV,defensefinder,1565819,GCA_000176855.2,CP002521.1,RM,RM,RM_Type_IV,RM IV
269235,ShosTA,defensefinder,270747,GCA_002005365.1,CP019697.1,ShosTA,TA,ShosTA,ShosTA
1392892,RM_Type_II,defensefinder,1397539,GCA_001029105.3,CP011807.3,RM,RM,RM_Type_II,RM II
5942779,Borvo,defensefinder,5944911,GCA_901827175.1,LR594662.1,Borvo,Unknown,Borvo,Borvo
38916,RM_Type_II,defensefinder,41150,GCA_901827175.1,LR594665.1,RM,RM,RM_Type_II,RM II
174600,ISG15-like,defensefinder,177455,GCA_901827175.1,LR594663.1,ISG15-like,Unknown,ISG15-like,ISG15-like
4036260,Olokun,defensefinder,4039933,GCA_000214395.1,CP002735.1,Olokun,Unknown,Olokun,Olokun
3025341,RM_Type_II,defensefinder,3027690,GCA_000214395.1,CP002735.1,RM,RM,RM_Type_II,RM II
3281764,RM_Type_IV,defensefinder,3282963,GCA_000214395.1,CP002735.1,RM,RM,RM_Type_IV,RM IV
4968310,Rst_gop_beta_cll,defensefinder,4970429,GCA_000214395.1,CP002735.1,gop_beta_cll,Unknown,Rst_gop_beta_cll,gop_beta_cll
2660014,Mokosh_TypeI,defensefinder,2669960,GCA_000193595.3,CP009751.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
1390850,Mokosh_TypeI,defensefinder,1400796,GCA_000193615.3,CP009752.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
2669760,Tiamat,defensefinder,2675267,GCA_001865575.2,CP017561.2,Tiamat,Unknown,Tiamat,Tiamat
2640640,Olokun,defensefinder,2643983,GCA_001865575.2,CP017561.2,Olokun,Unknown,Olokun,Olokun
2687305,RM_Type_IV,defensefinder,2691182,GCA_001865575.2,CP017561.2,RM,RM,RM_Type_IV,RM IV
146054,RM_Type_IV,defensefinder,146836,GCA_001865575.2,CP017561.2,RM,RM,RM_Type_IV,RM IV
2698682,Lamassu-Fam,defensefinder,2702008,GCA_001865575.2,CP017561.2,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
1322331,Mokosh_TypeI,defensefinder,1327621,GCA_001865575.2,CP017562.2,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
1621458,Olokun,defensefinder,1625140,GCA_009938265.1,AP022316.1,Olokun,Unknown,Olokun,Olokun
77875,RM_Type_II,defensefinder,81518,GCA_009938265.1,AP022320.1,RM,RM,RM_Type_II,RM II
223544,AbiEii,defensefinder,225446,GCA_009938265.1,AP022318.1,AbiE,Abi,AbiEii,AbiEii
1485131,Mokosh_TypeI,defensefinder,1490226,GCA_009938265.1,AP022316.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
866842,AbiEii,defensefinder,868723,GCA_000402035.1,AP013060.1,AbiE,Abi,AbiEii,AbiEii
210790,RM_Type_II,defensefinder,213563,GCA_000828875.1,AP014579.1,RM,RM,RM_Type_II,RM II
1647813,AbiEii,defensefinder,1649688,GCA_000828875.1,AP014578.1,AbiE,Abi,AbiEii,AbiEii
214042,Thoeris_I,defensefinder,218633,GCA_000828875.1,AP014579.1,Thoeris,Abi,Thoeris_I,Thoeris I
10358,dCTPdeaminase,defensefinder,11917,GCA_020510705.1,CP075184.1,dCTPdeaminase,Nucleotide_depletion,dCTPdeaminase,dCTPdeaminase
3456097,Mokosh_TypeI,defensefinder,3467412,GCA_020510705.1,CP075184.1,Mokosh,Unknown,Mokosh_TypeI,Mokosh I
854106,Mokosh_TypeII,defensefinder,857651,GCA_000165835.1,CP002287.1,Mokosh,Unknown,Mokosh_TypeII,Mokosh II
15769,Retron_III,defensefinder,18302,GCA_000427195.1,FP885895.1,Retron,Retron,Retron_III,Retron III
3253260,Lamassu-Fam,defensefinder,3256761,GCA_000427195.1,FP885895.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
35515,RM_Type_IV,defensefinder,36378,GCA_000197855.1,FP885897.1,RM,RM,RM_Type_IV,RM IV
239823,Lamassu-Fam,defensefinder,242787,GCA_000197855.1,FP885897.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
1920677,Olokun,defensefinder,1924086,GCA_000283475.1,FP885891.2,Olokun,Unknown,Olokun,Olokun
32961,RM_Type_IV,defensefinder,33815,GCA_000283475.1,FP885906.2,RM,RM,RM_Type_IV,RM IV
416527,AbiEii,defensefinder,418493,GCA_000283475.1,FP885891.2,AbiE,Abi,AbiEii,AbiEii
3101439,AVAST_III,defensefinder,3111122,GCA_000283475.1,FP885906.2,AVAST,Unknown,AVAST_III,AVAST III
1070018,AbiEii,defensefinder,1071969,GCA_004367745.1,CP037993.1,AbiE,Abi,AbiEii,AbiEii
5237103,Lamassu-Fam,defensefinder,5242500,GCA_004367745.1,CP037993.1,Lamassu,Unknown,Lamassu-Fam,Lamassu-Fam
3054388,dCTPdeaminase,defensefinder,3055761,GCA_004367745.1,CP037993.1,dCTPdeaminase,Nucleotide_depletion,dCTPdeaminase,dCTPdeaminase
4563929,RosmerTA,defensefinder,4567295,GCA_004367745.1,CP037993.1,RosmerTA,TA,RosmerTA,RosmerTA
7075,SoFic,defensefinder,8169,GCA_000244995.1,CM001438.1,SoFic,Unknown,SoFic,SoFic
3661105,Borvo,defensefinder,3663966,GCA_000244995.1,CM001438.1,Borvo,Unknown,Borvo,Borvo
2356557,RM_Type_IV,defensefinder,2359824,GCA_000244995.1,CM001438.1,RM,RM,RM_Type_IV,RM IV
452171,Nhi,defensefinder,454162,GCA_000244995.1,CM001438.1,AbiO/Nhi,RM,Nhi,AbiO/Nhi
452171,Septu,defensefinder,454162,GCA_000147015.1,CM001438.1,Septu,Unknown,Septu,Septu
5403652,Lit,defensefinder,5404635,GCA_009789595.1,CP046904.1,Lit,Abi,Lit,Lit
150305,RM_Type_II,defensefinder,152943,GCA_001854305.1,CP017750.1,RM,RM,RM_Type_II,RM II
2481417,dCTPdeaminase,defensefinder,2483048,GCA_001854305.1,CP017748.1,dCTPdeaminase,Nucleotide_depletion,dCTPdeaminase,dCTPdeaminase
523261,RosmerTA,defensefinder,524738,GCA_000260515.1,CP002834.1,RosmerTA,TA,RosmerTA,RosmerTA
314084,RM_Type_II,defensefinder,378476,GCA_003143515.1,CP029343.1,RM,RM,RM_Type_II,RM II
2500862,Mokosh_TypeII,defensefinder,2502436,GCA_003143515.1,CP029343.1,Mokosh,Unknown,Mokosh_TypeII,Mokosh II
2651289,SoFic,defensefinder,2652452,GCA_000477435.1,CP004885.1,SoFic,Unknown,SoFic,SoFic
628795,RM_Type_IIG,defensefinder,632367,GCA_000477435.1,CP004885.1,RM,RM,RM_Type_IIG,RM IIG
2455610,RM_Type_III,defensefinder,2464661,GCA_000477435.1,CP004885.1,RM,RM,RM_Type_III,RM III
2724142,RM_Type_II,defensefinder,2725840,GCA_000477435.1,CP004885.1,RM,RM,RM_Type_II,RM II
51180,Dsr_I,defensefinder,54788,GCA_003546465.1,CP007745.1,dsr,Abi,Dsr_I,dsr I
141230,Dsr_I,defensefinder,144838,GCA_006094315.1,CP034556.1,dsr,Abi,Dsr_I,dsr I
3180217,RM_Type_IV,defensefinder,3181116,GCA_000284255.1,AP012320.1,RM,RM,RM_Type_IV,RM IV
1865596,Shango,defensefinder,1873533,GCA_000284255.1,AP012320.1,Shango,Unknown,Shango,Shango
2745710,RosmerTA,defensefinder,2747290,GCA_000284255.1,AP012320.1,RosmerTA,TA,RosmerTA,RosmerTA
